error_id	error_type	error_layer	cx	cy	dist	access_x	access_y	cell	pin	access_status	ref	via_window_verdict	via_window_class
50	Off-grid	M2 (13)	227.301	198.296	0.04420407221060729	227.328	198.261	u_core/core_i/U4296	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
51	Off-grid	VIA1 (12)	224.134	194.952	0.03505709628591335	224.136	194.917	u_core/core_i/U4234	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
52	Off-grid	M2 (13)	224.134	194.952	0.03505709628591335	224.136	194.917	u_core/core_i/U4234	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
53	Off-grid	M2 (13)	192.493	206.2	0.027000000000015234	192.52	206.2	u_core/core_i/U1897	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
54	Off-grid	VIA1 (12)	192.493	206.2	0.027000000000015234	192.52	206.2	u_core/core_i/U1897	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
55	Off-grid	M2 (13)	199.387	204.984	0.04420407221058993	199.36	204.949	u_core/core_i/U2033	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
56	Off-grid	VIA1 (12)	199.387	204.984	0.04420407221058993	199.36	204.949	u_core/core_i/U2033	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
57	Off-grid	M2 (13)	195.71	208.328	0.03505709628591173	195.712	208.293	u_core/core_i/U2548	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
58	Off-grid	VIA1 (12)	195.71	208.328	0.03505709628591173	195.712	208.293	u_core/core_i/U2548	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
59	Off-grid	M2 (13)	197.838	209.544	0.0020000000000095497	197.84	209.544	u_core/core_i/U2618	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
60	Off-grid	VIA1 (12)	197.838	209.544	0.0020000000000095497	197.84	209.544	u_core/core_i/U2618	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
61	Off-grid	M2 (13)	199.485	211.672	0.04420407221058993	199.512	211.637	u_core/core_i/U2690	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
62	Off-grid	VIA1 (12)	199.485	211.672	0.04420407221058993	199.512	211.637	u_core/core_i/U2690	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
63	Off-grid	M2 (13)	201.942	208.328	0.03505709628591173	201.944	208.293	u_core/core_i/U2150	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
64	Off-grid	VIA1 (12)	201.942	208.328	0.03505709628591173	201.944	208.293	u_core/core_i/U2150	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
65	Off-grid	VIA1 (12)	204.653	211.672	0.04420407221060729	204.68	211.637	u_core/core_i/U2470	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
66	Off-grid	M2 (13)	204.653	211.672	0.04420407221060729	204.68	211.637	u_core/core_i/U2470	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
67	Off-grid	VIA1 (12)	228.669	215.016	0.04420407221058993	228.696	214.981	u_core/core_i/U4256	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
68	Off-grid	M2 (13)	228.669	215.016	0.04420407221058993	228.696	214.981	u_core/core_i/U4256	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
