ref_name	cell_name	pin_name	point_x	point_y	point_bucket50	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket50	distance_um
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][22]	Q	119.7120	156.4960	100-150,150-200	130	Needs fat contact	M1 (11)-M2 (13)	91.7440	179.6000	050-100,150-200	36.2768
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[27][30]	Q	80.3440	137.6480	050-100,100-150	103	Off-grid	M1 (11)	74.1320	154.6465	050-100,150-200	18.0980
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][10]	QN	199.6640	63.0160	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	27.6577
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][23]	Q	220.3360	23.9520	200-250,000-050	20	Off-grid	VIA1 (12)	227.3260	47.8160	200-250,000-050	24.8667
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	SE	160.2960	44.4385	150-200,000-050	51	Needs fat contact	M1 (11)-M2 (13)	130.8080	82.6240	100-150,050-100	48.2460
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	SE	160.2960	44.4720	150-200,000-050	51	Needs fat contact	M1 (11)-M2 (13)	130.8080	82.6240	100-150,050-100	48.2195
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	SE	160.2960	44.4552	150-200,000-050	51	Needs fat contact	M1 (11)-M2 (13)	130.8080	82.6240	100-150,050-100	48.2328
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][15]	RSTB	199.6640	44.9280	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	24.2123
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][15]	RSTB	199.6640	44.9325	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	24.2116
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][15]	RSTB	199.6640	44.9302	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	24.2120
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[21][17]	CLK	200.4240	40.2160	200-250,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	24.7270
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[21][17]	CLK	200.4240	40.2260	200-250,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	24.7234
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[21][30]	QN	199.6640	39.6080	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	25.6555
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][5]	SE	159.6880	64.5025	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	31.4451
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][5]	SE	159.6880	64.5360	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	31.4203
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][5]	SE	159.6880	64.5192	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	31.4327
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][25]	RSTB	180.3600	64.9920	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	46.0220
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][25]	RSTB	180.3600	64.9965	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	46.0236
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][25]	RSTB	180.3600	64.9942	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	46.0228
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][26]	SE	160.2960	57.8145	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	37.0284
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][26]	SE	160.2960	57.8480	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	37.0013
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][26]	SE	160.2960	57.8312	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	37.0149
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][31]	SE	159.6880	54.4705	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	39.4552
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][31]	SE	159.6880	54.5040	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	39.4269
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][31]	SE	159.6880	54.4872	150-200,050-100	50	Needs fat contact	M1 (11)-M2 (13)	138.5600	87.7920	100-150,050-100	39.4411
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][1]	RSTB	199.6640	34.8960	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	27.7348
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][1]	RSTB	199.6640	34.9005	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	27.7326
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][1]	RSTB	199.6640	34.8982	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	27.7337
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][14]	Q	199.6640	29.4240	150-200,000-050	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	30.8848
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][10]	QN	119.7120	26.2320	100-150,000-050	30	Needs fat contact	M1 (11)-M2 (13)	118.4960	75.9360	100-150,050-100	49.7189
