ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[10]	SE	80.344	305.2705	080-100,300-320	no	67	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[10]	SE	80.344	305.304	080-100,300-320	no	67	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[10]	SE	80.344	305.2872	080-100,300-320	no	67	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[15]	SE	59.672	305.2705	040-060,300-320	no	68	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[15]	SE	59.672	305.304	040-060,300-320	no	68	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[15]	SE	59.672	305.2872	040-060,300-320	no	68	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[4]	RSTB	259.552	58.304	240-260,040-060	no	69	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[4]	RSTB	259.552	58.3085	240-260,040-060	no	69	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[4]	RSTB	259.552	58.3062	240-260,040-060	no	69	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[2]	RSTB	259.552	55.2595	240-260,040-060	no	70	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[2]	RSTB	259.552	55.264	240-260,040-060	no	70	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[2]	RSTB	259.552	55.2617	240-260,040-060	no	70	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[11]	RSTB	259.704	85.056	240-260,080-100	no	71	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[11]	RSTB	259.704	85.0605	240-260,080-100	no	71	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[11]	RSTB	259.704	85.0582	240-260,080-100	no	71	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[10]	Q	260.312	87.488	260-280,080-100	no	72	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[8]	Q	260.312	96.304	260-280,080-100	no	73	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dcsr_q_reg[stepie]	RSTB	260.312	45.2275	260-280,040-060	no	74	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dcsr_q_reg[stepie]	RSTB	260.312	45.232	260-280,040-060	no	74	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dcsr_q_reg[stepie]	RSTB	260.312	45.2297	260-280,040-060	no	74	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[26]	RSTB	259.552	28.208	240-260,020-040	no	75	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[26]	RSTB	259.552	28.2125	240-260,020-040	no	75	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[26]	RSTB	259.552	28.2102	240-260,020-040	no	75	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[25]	RSTB	259.552	21.8195	240-260,020-040	no	76	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[25]	RSTB	259.552	21.824	240-260,020-040	no	76	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[25]	RSTB	259.552	21.8217	240-260,020-040	no	76	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[24]	RSTB	259.552	24.864	240-260,020-040	no	77	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[24]	RSTB	259.552	24.8685	240-260,020-040	no	77	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[24]	RSTB	259.552	24.8662	240-260,020-040	no	77	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[7]	Q	260.312	37.328	260-280,020-040	no	78	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.344	240-260,040-060	no	79	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.3775	240-260,040-060	no	79	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.3607	240-260,040-060	no	79	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][32]	Q	260.312	186.592	260-280,180-200	no	80	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.2305	240-260,180-200	no	81	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.264	240-260,180-200	no	81	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.2472	240-260,180-200	no	81	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.2625	280-300,180-200	no	82	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.296	280-300,180-200	no	82	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.2792	280-300,180-200	no	82	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	Q	300.288	223.376	300-320,220-240	no	83	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.2985	280-300,220-240	no	84	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.336	280-300,220-240	no	84	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.3172	280-300,220-240	no	84	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.468	300-320,220-240	no	85	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.488	300-320,220-240	no	85	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.478	300-320,220-240	no	85	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][61]	QN	299.68	139.928	280-300,120-140	no	86	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.536	300-320,220-240	no	87	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.5405	300-320,220-240	no	87	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.5382	300-320,220-240	no	87	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.532	280-300,240-260	no	88	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.552	280-300,240-260	no	88	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.542	280-300,240-260	no	88	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.528	242.5235	280-300,240-260	no	89	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.528	242.528	280-300,240-260	no	89	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.528	242.5257	280-300,240-260	no	89	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.288	179.448	300-320,160-180	no	90	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.288	179.4815	300-320,160-180	no	90	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.288	179.4647	300-320,160-180	no	90	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.288	154.7905	300-320,140-160	no	91	1
