ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][34]	SE	260.312	161.4952	260-280,160-180	no	104	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][36]	SE	259.704	158.1345	240-260,140-160	no	105	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][36]	SE	259.704	158.168	240-260,140-160	no	105	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][36]	SE	259.704	158.1512	240-260,140-160	no	105	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][41]	RSTB	259.704	168.656	240-260,160-180	no	106	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][41]	RSTB	259.704	168.6605	240-260,160-180	no	106	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][41]	RSTB	259.704	168.6582	240-260,160-180	no	106	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][52]	SE	299.68	149.352	280-300,140-160	no	107	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][52]	SE	299.68	149.3855	280-300,140-160	no	107	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][52]	SE	299.68	149.3687	280-300,140-160	no	107	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][53]	RSTB	300.44	138.8595	300-320,120-140	no	108	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][53]	RSTB	300.44	138.864	300-320,120-140	no	108	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][53]	RSTB	300.44	138.8617	300-320,120-140	no	108	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][55]	SI	299.68	134.0	280-300,120-140	no	109	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][55]	SI	299.68	134.0375	280-300,120-140	no	109	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][55]	SI	299.68	134.0187	280-300,120-140	no	109	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][55]	CLK	300.288	133.848	300-320,120-140	no	110	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][55]	CLK	300.288	133.868	300-320,120-140	no	110	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][55]	CLK	300.288	133.858	300-320,120-140	no	110	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][19]	SI	299.68	190.2025	280-300,180-200	no	111	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][19]	SI	299.68	190.24	280-300,180-200	no	111	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][19]	SI	299.68	190.2212	280-300,180-200	no	111	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][19]	CLK	300.288	190.372	300-320,180-200	no	112	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][19]	CLK	300.288	190.392	300-320,180-200	no	112	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][19]	CLK	300.288	190.382	300-320,180-200	no	112	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][25]	Q	300.288	183.248	300-320,180-200	no	113	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	RSTB	300.288	121.84	300-320,120-140	no	114	1
